NAME,b1,a1,b2,a2,b3,a3,b4,a4,b5,a5,b6,a6,b7,a7,b8,a8,b9,a9,b10,a10,b11,a11,b12,a12,b13,a13,b14,a14,b15,a15,beam
MQXA.1R1,0.0,0.0,0.0007700000000000002,0.0,-0.3877199999999999,0.3203799999999999,1.0170900000000003,-0.07093999999999999,-0.021289999999999986,0.0026800000000000005,0.22612000000000002,-0.04499999999999996,-0.01600000000000001,0.012000000000000009,-0.10200000000000017,0.0030000000000000022,0.004000000000000003,0.0060000000000000045,-0.10200000000000017,-0.005000000000000004,-0.0020000000000000013,-0.0020000000000000013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MQXB.A2R1,0.0,0.0,-0.004099999999999999,0.0,-0.07583000000000001,-2.6206200000000006,0.1519999999999997,-0.60265,0.06160000000000001,-0.44746000000000025,0.35931999999999986,0.02589999999999999,0.04499999999999996,-0.021999999999999992,-0.03399999999999994,-0.05299999999999996,-0.02899999999999995,-0.010000000000000007,-0.010000000000000007,0.020999999999999956,0.008000000000000005,-0.0010000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MQXB.B2R1,0.0,0.0,-0.004099999999999999,0.0,0.44602,0.6296400000000003,-0.07300000000000016,-0.7993100000000005,-0.12029000000000004,0.21835999999999992,-0.28808999999999996,-0.03606000000000001,0.009000000000000006,-0.0010000000000000007,-0.035000000000000045,-0.043999999999999984,-0.01400000000000001,0.012000000000000009,-0.021999999999999992,0.018000000000000013,0.005000000000000004,-0.004000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MQXA.3R1,0.0,0.0,-0.001830000000000002,0.0,0.37363999999999997,0.009350000000000006,1.2693700000000003,0.13055,0.03227999999999997,-0.028769999999999983,0.20587000000000003,-0.01400000000000001,0.01600000000000001,-0.007000000000000005,-0.0060000000000000045,0.005000000000000004,-0.0020000000000000013,-0.0010000000000000007,-0.02599999999999997,0.0,-0.0010000000000000007,0.0020000000000000013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MQXA.3L2,0.0,0.0,0.0005699999999999998,0.0,0.06502,0.07583000000000002,1.33141,0.16037999999999997,0.07772000000000003,0.02117999999999999,0.25595999999999997,-0.03200000000000002,-0.0010000000000000007,0.012999999999999986,-0.004000000000000003,0.01400000000000001,-0.0030000000000000022,0.0030000000000000022,-0.020000000000000014,0.0,0.0,0.0060000000000000045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MQXB.B2L2,0.0,0.0,0.00637,0.0,-0.9432599999999993,1.2889700000000002,-0.06099999999999995,0.5975599999999998,0.11382999999999999,0.19935,0.36714999999999987,-0.06202,0.02999999999999995,-0.012999999999999986,-0.04099999999999996,0.032999999999999946,-0.012000000000000009,0.0030000000000000022,0.005000000000000004,0.012999999999999986,0.0060000000000000045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MQXB.A2L2,0.0,0.0,0.00637,0.0,0.44795000000000007,0.05650000000000002,-0.17399999999999982,-1.0370400000000004,-0.02334999999999998,0.06911999999999999,-0.9193300000000005,-0.03358000000000002,-0.010999999999999996,-0.043999999999999984,-0.02899999999999995,-0.0599999999999999,-0.008000000000000005,-0.008000000000000005,0.01699999999999997,0.022999999999999986,0.012999999999999986,0.004000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MQXA.1L2,0.0,0.0,0.0010999999999999996,0.0,0.5679799999999997,-0.11936000000000002,1.2926100000000005,-0.4492900000000001,-0.015189999999999999,-0.07999000000000003,0.17574000000000006,-0.032999999999999946,0.008000000000000005,-0.0010000000000000007,-0.10800000000000004,-0.010000000000000007,-0.01600000000000001,-0.005000000000000004,-0.11700000000000027,-0.0060000000000000045,-0.01400000000000001,-0.0030000000000000022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MQXA.1R2,0.0,0.0,0.00355,0.0,-0.04540999999999999,0.8709499999999997,1.0959899999999996,-0.25243000000000015,0.016659999999999994,0.07493999999999999,-0.06466000000000001,-0.047000000000000014,0.0010000000000000007,-0.0030000000000000022,-0.10800000000000004,-0.0030000000000000022,-0.010999999999999996,-0.0030000000000000022,-0.11200000000000009,-0.004000000000000003,-0.007000000000000005,-0.0030000000000000022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MQXB.A2R2,0.0,0.0,-0.007389999999999999,0.0,-0.51164,-0.20049,-0.0060000000000000045,-0.07690999999999999,0.02447999999999998,-0.019289999999999988,0.09737000000000005,0.07967000000000002,-0.022999999999999986,-0.032999999999999946,-0.03399999999999994,-0.020000000000000014,-0.0030000000000000022,-0.0010000000000000007,0.0020000000000000013,0.020000000000000014,0.010000000000000007,-0.0010000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MQXB.B2R2,0.0,0.0,-0.007389999999999999,0.0,0.09006000000000004,0.037249999999999985,-0.08100000000000017,-0.005900000000000003,0.09365,-0.02936999999999998,0.1633300000000001,-0.0851,0.05299999999999996,0.03399999999999994,-0.04099999999999996,-0.008000000000000005,-0.01699999999999997,0.012999999999999986,-0.01400000000000001,0.01899999999999996,0.008000000000000005,0.0020000000000000013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
