NAME	RE_011100	IM_011100	RE_012000	IM_012000	RE_100200	IM_100200	RE_101100	IM_101100	RE_102000	IM_102000	RE_210000	IM_210000	RE_300000	IM_300000	RE_001300	IM_001300	RE_003100	IM_003100	RE_004000	IM_004000	RE_021100	IM_021100	RE_110200	IM_110200	RE_022000	IM_022000	RE_112000	IM_112000	RE_130000	IM_130000	RE_200200	IM_200200	RE_201100	IM_201100	RE_202000	IM_202000	RE_400000	IM_400000	RE_310000	IM_310000	RE_001200	IM_001200	RE_002100	IM_002100	RE_003000	IM_003000	RE_021000	IM_021000	RE_110100	IM_110100	RE_111000	IM_111000	RE_200100	IM_200100	RE_201000	IM_201000	RE_011200	IM_011200	RE_012100	IM_012100	RE_031000	IM_031000	RE_013000	IM_013000	RE_100300	IM_100300	RE_101200	IM_101200	RE_102100	IM_102100	RE_103000	IM_103000	RE_120100	IM_120100	RE_121000	IM_121000	RE_210100	IM_210100	RE_211000	IM_211000	
BPM.10L5.B2	     40.2185	    -15.8143	     -0.0238	      5.7348	     -0.0238	     -5.7348	     40.2185	     15.8143	     -7.6373	     24.0740	    -17.5199	     23.3027	     29.9766	     -1.3843	   2633.7454	  -1177.3460	   2633.7454	   1177.3460	   -438.4734	  -1419.0100	    670.0152	    369.6578	   -632.2675	    712.0234	 -16279.1872	  16827.2640	   -632.2675	   -712.0234	  -4518.4169	  -2411.7842	 -16279.1872	 -16827.2640	    670.0152	   -369.6578	   1584.6092	   5461.7788	   5565.9815	   2086.8301	  -4518.4169	   2411.7842	     -0.0240	     -0.0336	     -0.0240	      0.0336	     -0.0960	     -0.0219	      0.0072	     -0.0053	     -0.0080	     -0.0114	     -0.0080	      0.0114	      0.0072	      0.0053	     -0.0059	      0.0364	      7.6295	      4.9081	     62.7665	     15.1764	     -0.9518	     -0.3734	      0.3481	     10.8665	      0.3481	    -10.8665	     62.7665	    -15.1764	      7.6295	     -4.9081	    -14.3305	     12.4146	     -0.9090	      3.7456	     23.6154	     41.3086	     23.6154	    -41.3086	     -0.9090	     -3.7456	
BPM.9L5.B2	     17.3383	    -39.5854	      1.5492	      5.5205	      1.5492	     -5.5205	     17.3383	     39.5854	    -25.2494	     -0.6360	    -28.8574	      4.1502	    -20.0766	     22.3036	   1734.1944	  -2305.3411	   1734.1944	   2305.3411	    969.5973	  -1125.0904	    372.3144	   -668.2708	   -208.3295	    929.2026	   6744.8499	  22420.3419	   -208.3295	   -929.2026	  -2430.8908	   4508.1861	   6744.8499	 -22420.3419	    372.3144	    668.2708	  -5551.2483	  -1235.0751	  -5583.4561	  -2039.6339	  -2430.8908	  -4508.1861	     -0.0317	     -0.0265	     -0.0317	      0.0265	     -0.0546	     -0.0820	     -0.0033	     -0.0083	     -0.0106	     -0.0090	     -0.0106	      0.0090	     -0.0033	      0.0083	     -0.0338	     -0.0147	      8.1111	     -4.0622	     61.8178	    -18.6699	      0.1553	      1.0106	      0.6207	     10.8544	      0.6207	    -10.8544	     61.8178	     18.6699	      8.1111	      4.0622	    -12.8283	    -13.9615	      2.7594	      2.6910	     41.2711	     23.6810	     41.2711	    -23.6810	      2.7594	     -2.6910	
BPM.8L5.B2	    -36.5909	    -22.9938	      0.7255	      5.6879	      0.7255	     -5.6879	    -36.5909	     22.9938	     25.0618	     -3.1361	     -8.3664	    -27.9284	     28.7708	      8.5304	  -2302.8468	  -1737.5301	  -2302.8468	   1737.5301	   -966.3490	   1127.8688	   -551.2594	    530.3962	    928.8962	    209.6887	  23412.8690	     65.0821	    928.8962	   -209.6887	   3641.8642	  -3601.4291	  23412.8690	    -65.0821	   -551.2594	   -530.3962	    448.5775	   5669.2593	  -5770.2204	   1428.2812	   3641.8642	   3601.4291	     -0.0412	      0.0036	     -0.0412	     -0.0036	      0.0967	      0.0191	     -0.0058	      0.0068	     -0.0139	      0.0011	     -0.0139	     -0.0011	     -0.0058	     -0.0068	      0.0229	      0.0288	     -8.0878	     -4.1084	     38.5435	    -51.8113	     -0.4847	     -0.9003	     -8.3401	      6.9745	     -8.3401	     -6.9745	     38.5435	     51.8113	     -8.0878	      4.1084	      2.0457	     18.8495	      0.5241	     -3.8186	     47.2573	     -5.5531	     47.2573	      5.5531	      0.5241	      3.8186	
BPM.7L5.B2	    -42.8871	      5.3320	     -5.0982	     -2.6225	     -5.0982	      2.6225	    -42.8871	     -5.3320	    -24.2998	     -6.8856	     11.1809	    -26.9242	    -20.9266	     21.5092	   1723.4240	   2313.4399	   1723.4240	  -2313.4399	   -207.4771	   1470.6875	    409.3398	    646.2189	   -832.8788	   -461.3596	   1872.0416	  23337.8172	   -832.8788	    461.3596	  -2800.6468	  -4288.0370	   1872.0416	 -23337.8172	    409.3398	   -646.2189	   4805.0356	  -3042.2190	   4748.8470	  -3575.2706	  -2800.6468	   4288.0370	     -0.0022	      0.0413	     -0.0022	     -0.0413	     -0.0225	     -0.0959	     -0.0062	      0.0064	     -0.0009	      0.0139	     -0.0009	     -0.0139	     -0.0062	     -0.0064	     -0.0313	     -0.0194	      0.6580	      9.0474	     63.4468	    -12.0186	     -0.9200	     -0.4461	     10.5696	     -2.5486	     10.5696	      2.5486	     63.4468	     12.0186	      0.6580	     -9.0474	     18.7465	      2.8413	     -3.5404	      1.5235	     38.5316	     27.9180	     38.5316	    -27.9180	     -3.5404	     -1.5235	
BPMR.6L5.B2	    -36.7263	     22.7796	     -1.6288	     -5.4969	     -1.6288	      5.4969	    -36.7263	    -22.7796	      9.2724	    -23.4929	     21.4164	    -19.7804	    -26.4026	    -14.2643	   2748.5327	   -876.1467	   2748.5327	    876.1467	   -742.1524	  -1286.5367	    757.1155	    109.1760	   -707.4589	    637.2362	  -6831.4286	  22393.9837	   -707.4589	   -637.2362	  -5078.9049	   -660.0922	  -6831.4286	 -22393.9837	    757.1155	   -109.1760	    188.4201	   5683.9987	   2798.4798	   5244.2898	  -5078.9049	    660.0922	      0.0221	      0.0349	      0.0221	     -0.0349	      0.0984	      0.0056	     -0.0044	      0.0077	      0.0073	      0.0118	      0.0073	     -0.0118	     -0.0044	     -0.0077	      0.0166	     -0.0329	      8.1794	      3.9225	     64.5751	      0.0554	     -0.9970	      0.2266	      4.0352	     10.0960	      4.0352	    -10.0960	     64.5751	     -0.0554	      8.1794	     -3.9225	    -14.4894	     12.2296	     -0.4361	      3.8295	     32.6326	     34.6296	     32.6326	    -34.6296	     -0.4361	     -3.8295	
BPMWT.B6L5.B2	     16.5000	     39.9435	     -5.7209	      0.3742	     -5.7209	     -0.3742	     16.5000	    -39.9435	     24.3294	      6.7803	     23.0016	     17.9124	     -0.1502	     30.0091	   2691.7537	  -1037.5398	   2691.7537	   1037.5398	   -584.6756	  -1365.3281	   -681.9606	   -346.5089	   -668.4490	    678.0512	  14763.4764	 -18171.3762	   -668.4490	   -678.0512	   4598.0128	   2255.9506	  14763.4764	  18171.3762	   -681.9606	    346.5089	  -1684.5133	  -5431.9166	   5410.9259	   2460.8804	   4598.0128	  -2255.9506	      0.0232	      0.0342	      0.0232	     -0.0342	      0.0975	      0.0143	      0.0069	     -0.0057	      0.0077	      0.0116	      0.0077	     -0.0116	      0.0069	      0.0057	     -0.0062	      0.0363	      4.9785	     -7.5831	     12.4465	    -63.3642	      0.2988	     -0.9778	     10.7838	     -1.3859	     10.7838	      1.3859	     12.4465	     63.3642	      4.9785	      7.5831	    -13.2737	    -13.5393	      3.7371	      0.9430	     40.2483	    -25.3806	     40.2483	     25.3806	      3.7371	     -0.9430	
BPMWT.A6L5.B2	     35.6206	     24.4725	     -4.6657	      3.3318	     -4.6657	     -3.3318	     35.6206	    -24.4725	     16.2638	     19.3231	      9.5037	     27.5610	    -29.5995	     -4.9434	   2667.9767	  -1097.2280	   2667.9767	   1097.2280	   -523.3005	  -1390.0082	   -592.8377	    483.4044	   -653.1878	    692.7682	 -10175.7649	 -21085.8499	   -653.1878	   -692.7682	   3923.6420	  -3291.8214	 -10175.7649	  21085.8499	   -592.8377	   -483.4044	   4367.8257	  -3642.1671	  -5460.1113	   2349.7295	   3923.6420	   3291.8214	      0.0235	      0.0340	      0.0235	     -0.0340	      0.0969	      0.0176	     -0.0023	     -0.0086	      0.0078	      0.0115	      0.0078	     -0.0115	     -0.0023	      0.0086	     -0.0358	      0.0086	     -0.0661	     -9.0711	    -23.4716	    -60.1584	     -1.0114	     -0.1499	      8.5120	     -6.7645	      8.5120	      6.7645	    -23.4716	     60.1584	     -0.0661	      9.0711	     -3.1142	    -18.7031	      3.6323	     -1.2892	     20.3630	    -43.0052	     20.3630	     43.0052	      3.6323	      1.2892	
BPMWT.D6L5.B2	     37.0564	     22.2386	     -4.4667	      3.5941	     -4.4667	     -3.5941	     37.0564	    -22.2386	     14.9647	     20.3458	      7.7930	     28.0926	    -28.1916	    -10.2860	   2663.5445	  -1107.9422	   2663.5445	   1107.9422	   -512.1107	  -1394.1695	   -529.0986	    552.4406	   -650.3991	    695.3877	 -12605.0000	 -19730.0090	   -650.3991	   -695.3877	   3490.4517	  -3748.0403	 -12605.0000	  19730.0090	   -529.0986	   -552.4406	   4793.7528	  -3059.9367	  -5867.7858	    950.3327	   3490.4517	   3748.0403	      0.0236	      0.0339	      0.0236	     -0.0339	      0.0968	      0.0182	     -0.0033	     -0.0083	      0.0078	      0.0115	      0.0078	     -0.0115	     -0.0033	      0.0083	     -0.0366	      0.0041	     -0.6413	     -9.0486	    -27.0042	    -58.6576	     -1.0218	      0.0360	      8.1241	     -7.2256	      8.1241	      7.2256	    -27.0042	     58.6576	     -0.6413	      9.0486	     -1.8459	    -18.8705	      3.5432	     -1.5170	     17.7720	    -44.1390	     17.7720	     44.1390	      3.5432	      1.5170	
BPMWT.C6L5.B2	     41.5241	     11.9783	     -3.5275	      4.5195	     -3.5275	     -4.5195	     41.5241	    -11.9783	      8.5488	     23.7657	      0.3186	     29.1518	    -12.8346	    -27.1264	   2630.0619	  -1185.2208	   2630.0619	   1185.2208	   -429.8819	  -1421.6776	   -185.1602	    742.1912	   -629.8314	    714.0751	 -20408.9595	 -11473.1792	   -629.8314	   -714.0751	   1170.0253	  -4986.1942	 -20408.9595	  11473.1792	   -185.1602	   -742.1912	   5686.0218	   -111.3555	  -3795.9846	  -4574.3339	   1170.0253	   4986.1942	      0.0241	      0.0336	      0.0241	     -0.0336	      0.0959	      0.0224	     -0.0069	     -0.0056	      0.0080	      0.0114	      0.0080	     -0.0114	     -0.0069	      0.0056	     -0.0336	     -0.0151	     -3.0680	     -8.5367	    -40.4293	    -50.3529	     -0.7127	      0.7332	      6.3878	     -8.7982	      6.3878	      8.7982	    -40.4293	     50.3529	     -3.0680	      8.5367	      3.8774	    -18.5599	      2.9999	     -2.4199	      6.5316	    -47.1321	      6.5316	     47.1321	      2.9999	      2.4199	
BPM.5L5.B2	     41.9832	     10.2540	     -3.3771	      4.6330	     -3.3771	     -4.6330	     41.9832	    -10.2540	      7.3573	     24.1612	     -0.8850	     29.1401	     -9.3846	    -28.5044	   2619.9843	  -1207.3299	   2619.9843	   1207.3299	   -405.8752	  -1428.7165	   -123.3089	    754.9342	   -623.7979	    719.3538	 -21202.9442	  -9929.4860	   -623.7979	   -719.3538	    754.7275	  -5065.7172	 -21202.9442	   9929.4860	   -123.3089	   -754.9342	   5672.6112	    405.8501	  -2992.2314	  -5136.2025	    754.7275	   5065.7172	      0.0242	      0.0335	      0.0242	     -0.0335	      0.0957	      0.0236	     -0.0073	     -0.0051	      0.0080	      0.0113	      0.0080	     -0.0113	     -0.0073	      0.0051	     -0.0321	     -0.0180	     -3.4532	     -8.3884	    -42.2682	    -48.8195	     -0.6200	      0.8130	      6.1331	     -8.9776	      6.1331	      8.9776	    -42.2682	     48.8195	     -3.4532	      8.3884	      4.8721	    -18.3239	      2.8867	     -2.5539	      4.7798	    -47.3418	      4.7798	     47.3418	      2.8867	      2.5539	
