NAME	RE_011100	IM_011100	RE_012000	IM_012000	RE_100200	IM_100200	RE_101100	IM_101100	RE_102000	IM_102000	RE_210000	IM_210000	RE_300000	IM_300000	RE_001300	IM_001300	RE_003100	IM_003100	RE_004000	IM_004000	RE_021100	IM_021100	RE_110200	IM_110200	RE_022000	IM_022000	RE_112000	IM_112000	RE_130000	IM_130000	RE_200200	IM_200200	RE_201100	IM_201100	RE_202000	IM_202000	RE_400000	IM_400000	RE_310000	IM_310000	RE_001200	IM_001200	RE_002100	IM_002100	RE_003000	IM_003000	RE_021000	IM_021000	RE_110100	IM_110100	RE_111000	IM_111000	RE_200100	IM_200100	RE_201000	IM_201000	RE_011200	IM_011200	RE_012100	IM_012100	RE_031000	IM_031000	RE_013000	IM_013000	RE_100300	IM_100300	RE_101200	IM_101200	RE_102100	IM_102100	RE_103000	IM_103000	RE_120100	IM_120100	RE_121000	IM_121000	RE_210100	IM_210100	RE_211000	IM_211000	
BPM.16L7.B2	    -19.1197	     30.8396	     -2.9731	     -3.3552	     -2.9731	      3.3552	    -19.1197	    -30.8396	      4.6949	    -23.8561	      7.4160	    -35.0025	     14.3030	    -33.8965	    878.5426	    276.8634	    878.5426	   -276.8634	  -1479.2822	   1329.6693	  -2892.0500	  -4324.5297	   2017.5470	   4102.1015	  19980.7406	   5332.6304	   2017.5470	  -4102.1015	    461.6612	   6890.5403	  19980.7406	  -5332.6304	  -2892.0500	   4324.5297	   -649.4295	   8487.5106	  -2489.8507	   5757.4673	    461.6612	  -6890.5403	     -0.0000	      0.0000	     -0.0000	     -0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	      0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	      0.0000	      0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	      0.0000	      0.0000	
BPM.15L7.B2	      6.1483	     38.3073	     -2.7922	     -6.1256	     -2.7922	      6.1256	      6.1483	    -38.3073	     16.6320	     16.4843	     31.4658	    -17.4066	      7.6757	     36.1107	    394.5533	  -1122.9882	    394.5533	   1122.9882	    962.9199	  -1715.1871	  -4387.1548	   2823.0715	   4273.7503	  -2042.8825	  20992.2248	   -232.0405	   4273.7503	   2042.8825	   6842.3856	  -1131.1611	  20992.2248	    232.0405	  -4387.1548	  -2823.0715	     83.6910	  -8780.8613	   3775.2417	  -5006.7654	   6842.3856	   1131.1611	     -0.0000	      0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	      0.0000	     -0.0000	      0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	      0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	     -0.0000	      0.0000	      0.0000	     -0.0000	     -0.0000	     -0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	     -0.0000	      0.0000	
BPM.14L7.B2	     31.1935	     23.6152	      4.1191	     -5.2148	      4.1191	      5.2148	     31.1935	    -23.6152	    -23.7824	     -0.7943	     31.8318	      5.0386	    -33.4349	    -15.2738	  -1148.4846	   -226.0540	  -1148.4846	    226.0540	  -1388.6296	   1426.6485	   2369.7114	   4139.5533	  -2708.7176	  -3748.9805	  20279.6089	   5092.2536	  -2708.7176	   3748.9805	   -269.7206	  -6119.3199	  20279.6089	  -5092.2536	   2369.7114	  -4139.5533	   -253.6919	   8777.2596	  -1899.2255	   5663.4301	   -269.7206	   6119.3199	      0.0000	      0.0000	      0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	     -0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	     -0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	     -0.0000	     -0.0000	
BPM.13L7.B2	     34.1872	     -4.8637	      4.3073	     -3.6754	      4.3073	      3.6754	     34.1872	      4.8637	     18.3732	    -18.9593	     17.2187	     27.7900	     36.3946	     -4.3537	   -187.1569	   1042.3988	   -187.1569	  -1042.3988	   1086.8351	  -1614.3047	   4624.7977	  -3467.0289	  -3464.0974	   2375.9956	  21320.6966	   -161.5323	  -3464.0974	  -2375.9956	  -6110.8813	   1277.0148	  21320.6966	    161.5323	   4624.7977	   3467.0289	    713.6639	  -8031.4088	   3579.2163	  -4865.0398	  -6110.8813	  -1277.0148	      0.0000	      0.0000	      0.0000	     -0.0000	     -0.0000	     -0.0000	     -0.0000	     -0.0000	     -0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	      0.0000	      0.0000	     -0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	     -0.0000	     -0.0000	     -0.0000	      0.0000	      0.0000	     -0.0000	     -0.0000	     -0.0000	     -0.0000	     -0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	
BPM.12L7.B2	     24.0653	    -26.8217	      5.8610	      2.4799	      5.8610	     -2.4799	     24.0653	     26.8217	     -2.9205	     26.9248	     -8.2739	     29.5999	    -14.4918	     32.0905	   1086.1364	     -5.1917	   1086.1364	      5.1917	  -1600.1274	   1104.6422	  -2520.6522	  -4936.7018	   2829.9744	   2805.0647	  20073.0954	   7374.6580	   2829.9744	  -2805.0647	   -549.0723	   6266.5896	  20073.0954	  -7374.6580	  -2520.6522	   4936.7018	   -929.5682	   8007.4354	  -2159.5518	   5434.8453	   -549.0723	  -6266.5896	      0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	     -0.0000	     -0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	      0.0000	      0.0000	
BPM.11L7.B2	     -8.0395	    -32.3411	      1.1174	      3.6987	      1.1174	     -3.6987	     -8.0395	     32.3411	    -15.8673	    -23.0884	    -27.1535	     13.9597	     -7.1208	    -34.3519	    112.1704	   -783.5918	    112.1704	    783.5918	   1500.3715	  -1298.1865	  -4217.8849	   3612.9788	   3150.2139	  -2017.3877	  20768.1099	   3843.4904	   3150.2139	   2017.3877	   6239.5914	   -232.4518	  20768.1099	  -3843.4904	  -4217.8849	  -3612.9788	   1534.7807	  -7678.7983	   3229.6876	  -4879.0845	   6239.5914	    232.4518	      0.0000	     -0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	     -0.0000	      0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	     -0.0000	     -0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	     -0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	     -0.0000	      0.0000	
BPM.10L7.B2	    -26.7766	    -19.1884	     -1.9526	      3.3615	     -1.9526	     -3.3615	    -26.7766	     19.1884	     26.0082	     10.0785	    -32.4551	    -10.9617	     31.9550	     14.8809	   -797.1525	     39.5810	   -797.1525	    -39.5810	  -1860.7859	    617.1076	   3244.3057	   4973.3492	  -2497.1916	  -2908.4756	  19120.9174	   9150.8247	  -2497.1916	   2908.4756	    180.9711	  -6997.7505	  19120.9174	  -9150.8247	   3244.3057	  -4973.3492	  -2373.1188	   7427.8234	  -2983.4707	   5353.6228	    180.9711	   6997.7505	     -0.0000	     -0.0000	     -0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	     -0.0000	      0.0000	      0.0000	     -0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	      0.0000	     -0.0000	      0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	     -0.0000	     -0.0000	
BPM.9L7.B2	    -32.3129	      6.4134	     -1.7224	      3.4845	     -1.7224	     -3.4845	    -32.3129	     -6.4134	    -10.0114	     26.0339	    -14.1980	    -31.1755	    -34.1318	      8.8089	   -556.0299	    572.5939	   -556.0299	   -572.5939	   -745.4915	  -1813.1852	   4753.2218	  -3558.9057	  -3809.9996	   -424.1887	  19190.9095	  -9002.8974	  -3809.9996	    424.1887	  -6994.7823	    271.7741	  19190.9095	   9002.8974	   4753.2218	   3558.9057	  -3366.6057	  -7033.5569	   3649.0621	  -4924.0988	  -6994.7823	   -271.7741	     -0.0000	     -0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	     -0.0000	     -0.0000	     -0.0000	      0.0000	      0.0000	     -0.0000	     -0.0000	     -0.0000	     -0.0000	     -0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	
BPM.8L7.B2	    -16.8409	     28.3147	     -1.9972	      3.3354	     -1.9972	     -3.3354	    -16.8409	    -28.3147	    -23.7290	    -14.6617	     13.6842	    -31.4048	     22.4795	    -27.1525	    117.7658	    789.4324	    117.7658	   -789.4324	   1945.5844	   -240.9194	  -4040.7454	  -4350.7705	  -2648.8147	   2771.2331	   7752.4741	 -19729.2563	  -2648.8147	  -2771.2331	   1008.9636	   6926.9805	   7752.4741	  19729.2563	  -4040.7454	   4350.7705	   6530.2399	   4261.6191	  -4601.7958	   4047.9903	   1008.9636	  -6926.9805	     -0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	     -0.0000	     -0.0000	     -0.0000	     -0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	     -0.0000	      0.0000	     -0.0000	      0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	      0.0000	
BPM.7L7.B2	     14.4420	     29.6094	     -0.9311	      3.7738	     -0.9311	     -3.7738	     14.4420	    -29.6094	     17.2276	    -21.9373	     33.7653	     -5.7777	    -17.5496	     30.5715	    594.7955	    532.2399	    594.7955	   -532.2399	    595.5152	   1867.8248	  -2379.5434	   5440.3009	   -268.5646	   3824.0665	 -16783.9038	 -12947.8176	   -268.5646	  -3824.0665	   5950.5808	  -3686.3552	 -16783.9038	  12947.8176	  -2379.5434	  -5440.3009	  -7750.4918	   -856.7133	   6099.0369	    602.8855	   5950.5808	   3686.3552	     -0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	     -0.0000	     -0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	     -0.0000	      0.0000	
