NAME	RE_011100	IM_011100	RE_012000	IM_012000	RE_100200	IM_100200	RE_101100	IM_101100	RE_102000	IM_102000	RE_210000	IM_210000	RE_300000	IM_300000	RE_001300	IM_001300	RE_003100	IM_003100	RE_004000	IM_004000	RE_021100	IM_021100	RE_110200	IM_110200	RE_022000	IM_022000	RE_112000	IM_112000	RE_130000	IM_130000	RE_200200	IM_200200	RE_201100	IM_201100	RE_202000	IM_202000	RE_400000	IM_400000	RE_310000	IM_310000	RE_001200	IM_001200	RE_002100	IM_002100	RE_003000	IM_003000	RE_021000	IM_021000	RE_110100	IM_110100	RE_111000	IM_111000	RE_200100	IM_200100	RE_201000	IM_201000	RE_011200	IM_011200	RE_012100	IM_012100	RE_031000	IM_031000	RE_013000	IM_013000	RE_100300	IM_100300	RE_101200	IM_101200	RE_102100	IM_102100	RE_103000	IM_103000	RE_120100	IM_120100	RE_121000	IM_121000	RE_210100	IM_210100	RE_211000	IM_211000	
BPM.18L5.B1	     -9.6791	    -12.1939	    -14.3452	      5.8952	    -14.3452	     -5.8952	     -9.6791	     12.1939	     68.8996	     51.8448	     31.9537	     12.7350	    -13.5162	    -33.7868	  -3003.7411	    184.5186	  -3003.7411	   -184.5186	   -841.7798	   3572.9583	  -3722.1575	  -1309.0286	  -2087.4983	   4031.2403	  16073.2983	  76642.1426	  -2087.4983	  -4031.2403	  -6214.9362	  -7133.1773	  16073.2983	 -76642.1426	  -3722.1575	   1309.0286	   4873.9206	   2923.7918	  -5923.8105	    562.2598	  -6214.9362	   7133.1773	      9.5433	      3.0898	      9.5433	     -3.0898	    -12.2916	    -28.9173	    -10.7894	     -8.4923	    -25.2815	      8.8951	    -25.2815	     -8.8951	    -10.7894	      8.4923	     31.0166	     39.7651	    977.2026	  -1055.6442	   -138.8857	-127708.6715	    -88.5344	   2875.4658	   -775.4136	    529.8149	   -775.4136	   -529.8149	   -138.8857	 127708.6715	    977.2026	   1055.6442	   -375.3237	  -2056.0681	   5954.5342	   1340.0775	 -43837.5936	 177659.3366	 -43837.5936	-177659.3366	   5954.5342	  -1340.0775	
BPM.17L5.B1	    -12.5052	     -8.3806	      3.2720	    -12.8553	      3.2720	     12.8553	    -12.5052	      8.3806	    -81.0714	    -29.0139	      1.6286	     14.6451	     22.3251	    -33.3046	   2425.8048	   1284.1198	   2425.8048	  -1284.1198	   2964.7334	   1632.5580	  -2189.8580	   2435.4921	   2255.2352	   2546.4624	 -80448.3008	   3724.8239	   2255.2352	  -2546.4624	  -2998.6763	   -884.2749	 -80448.3008	  -3724.8239	  -2189.8580	  -2435.4921	  -4391.9892	  -5978.9024	   1691.6142	  -3034.8277	  -2998.6763	    884.2749	      5.6261	     -6.9081	      5.6261	      6.9081	     -4.9630	     31.3197	     -2.0264	     -5.7954	     -1.8182	     12.6560	     -1.8182	    -12.6560	     -2.0264	      5.7954	    -54.1160	     15.4592	    114.9934	   -764.5185	  97247.1195	 -85271.1392	   -754.7685	   1106.3334	   -430.5456	    -12.9982	   -430.5456	     12.9982	  97247.1195	  85271.1392	    114.9934	    764.5185	  -2681.9899	   1261.1296	   -627.1094	   -507.9244	-163588.2019	  82682.7958	-163588.2019	 -82682.7958	   -627.1094	    507.9244	
BPM.16L5.B1	    -15.1670	      7.9199	     11.5423	     -5.8207	     11.5423	      5.8207	    -15.1670	     -7.9199	     85.8418	     14.2427	    -11.2202	      9.6183	    -18.2909	     35.8928	    439.5045	  -2877.3634	    439.5045	   2877.3634	  -1024.7552	  -3203.1252	   3199.9667	    360.2135	   1602.8967	  -3414.8367	 -79995.5098	   7626.2932	   1602.8967	   3414.8367	    605.5273	   3126.8281	 -79995.5098	  -7626.2932	   3199.9667	   -360.2135	  -1794.0482	   7200.0556	  -3367.3799	    715.6497	    605.5273	  -3126.8281	     -2.7710	     -8.8032	     -2.7710	      8.8032	     -1.4127	    -31.9579	     -6.7055	     -1.6217	      9.5451	      8.9204	      9.5451	     -8.9204	     -6.7055	      1.6217	     51.1905	    -23.7470	   -373.0861	    399.8711	  95082.2797	 -87646.5266	   1485.4945	     93.6186	    216.2948	   -432.3945	    216.2948	    432.3945	  95082.2797	  87646.5266	   -373.0861	   -399.8711	   2833.9907	   1408.0323	   -275.2493	    840.4024	-161440.5770	  86721.9838	-161440.5770	 -86721.9838	   -275.2493	   -840.4024	
BPM.15L5.B1	      1.7582	     16.1449	     11.0237	     -7.9355	     11.0237	      7.9355	      1.7582	    -16.1449	    -59.8871	     63.8241	    -13.7073	     -7.4813	     30.0964	    -27.1077	  -2085.3118	  -1892.2966	  -2085.3118	   1892.2966	   3375.1408	    397.9518	  -1949.4547	  -2781.8726	  -1870.0925	  -3214.4341	 -11105.0439	  79566.8736	  -1870.0925	   3214.4341	   2094.7402	  -2464.0403	 -11105.0439	 -79566.8736	  -1949.4547	   2781.8726	   2986.7159	  -6679.3117	    842.4351	   3462.7269	   2094.7402	   2464.0403	     -6.6140	     -6.2953	     -6.6140	      6.2953	     31.8761	     -3.9136	      0.6649	      6.7039	     12.5656	      2.7912	     12.5656	     -2.7912	      0.6649	     -6.7039	    -41.5409	     38.2713	    563.6793	    447.9917	  20226.5668	-127750.4253	  -1460.7927	   -435.3317	    306.3922	   -351.0480	    306.3922	    351.0480	  20226.5668	 127750.4253	    563.6793	   -447.9917	  -3023.3678	     50.6076	    619.8906	    306.4643	 -72759.7371	 168307.4081	 -72759.7371	-168307.4081	    619.8906	   -306.4643	
BPM.14L5.B1	     -9.2656	     23.2978	      1.4387	     -7.8058	      1.4387	      7.8058	     -9.2656	    -23.2978	    -75.2954	    -60.0242	     -7.7256	    -13.2909	     21.2282	     34.5439	  -1395.6108	   3500.7081	  -1395.6108	  -3500.7081	    931.8788	   2679.0961	  -2787.5323	   2336.0553	  -2315.5574	   2509.8426	  15657.0157	  78178.3289	  -2315.5574	  -2509.8426	  -1276.9282	  -2322.2278	  15657.0157	 -78178.3289	  -2787.5323	  -2336.0553	   7063.6898	   3686.4604	  -2916.7031	  -1912.0523	  -1276.9282	   2322.2278	     -2.2176	     -7.5020	     -2.2176	      7.5020	     12.7567	     32.1351	     -0.6954	      3.9122	      4.2048	      1.2434	      4.2048	     -1.2434	     -0.6954	     -3.9122	    -41.9204	    -45.5532	    -51.9025	   -850.4924	    626.5471	-127408.3708	   -667.7328	   1548.5530	    -96.6261	    835.9127	    -96.6261	   -835.9127	    626.5471	 127408.3708	    -51.9025	    850.4924	   -870.2488	  -3563.3978	    503.9615	   1549.9221	 -45529.1684	 176583.3826	 -45529.1684	-176583.3826	    503.9615	  -1549.9221	
BPM.13L5.B1	      1.2413	     24.3312	      7.4475	      7.6098	      7.4475	     -7.6098	      1.2413	    -24.3312	     88.1161	     39.6029	    -25.1053	    -24.4821	    -26.9832	     25.3939	   3352.0295	  -1423.1404	   3352.0295	   1423.1404	   3115.1420	   -203.7730	  -1511.9554	   2765.3612	   5114.2747	  -4859.2207	 -77264.7027	   8140.3560	   5114.2747	   4859.2207	  -9005.5685	   -471.8685	 -77264.7027	  -8140.3560	  -1511.9554	  -2765.3612	  -6730.7431	  -1990.1877	   -419.8800	  -5889.4741	  -9005.5685	    471.8685	     -8.2334	      0.7686	     -8.2334	     -0.7686	      7.1896	    -33.5492	      1.5919	      9.8886	      0.5551	    -17.9139	      0.5551	     17.9139	      1.5919	     -9.8886	     54.2993	    -13.3075	  -1993.8546	    224.5898	  94499.2310	 -83257.7415	   -201.4688	   3353.2707	   1546.5015	  -1099.1560	   1546.5015	   1099.1560	  94499.2310	  83257.7415	  -1993.8546	   -224.5898	  -1226.7810	   3026.1051	   2893.2773	  -6337.6631	-161345.7417	  84645.9951	-161345.7417	 -84645.9951	   2893.2773	   6337.6631	
BPM.12L5.B1	     19.9684	     13.6088	     -2.4567	      9.4604	     -2.4567	     -9.4604	     19.9684	    -13.6088	    -92.9876	    -22.8777	      7.8530	    -33.8398	     24.2251	    -27.7298	  -2711.4855	  -2484.0991	  -2711.4855	   2484.0991	  -2362.1410	  -1966.3664	   3082.0120	    744.8452	  -6596.6266	  -2680.9225	 -76240.7409	  15423.8572	  -6596.6266	   2680.9225	   3495.9160	   8278.1108	 -76240.7409	 -15423.8572	   3082.0120	   -744.8452	   3471.4282	   6355.5445	  -4492.1308	   3810.4927	   3495.9160	  -8278.1108	     -4.1892	      6.9311	     -4.1892	     -6.9311	      0.6487	     34.0241	      8.6962	      3.0350	    -14.4011	    -10.2448	    -14.4011	     10.2448	      8.6962	     -3.0350	    -51.9573	     20.3265	    638.9287	   1573.8134	  90500.1431	 -87511.8152	   2873.5294	  -1377.0374	    528.8248	   1886.4300	    528.8248	  -1886.4300	  90500.1431	  87511.8152	    638.9287	  -1573.8134	   2921.6401	  -1673.3838	  -6931.4890	   -208.6802	-157236.8486	  92052.3706	-157236.8486	 -92052.3706	  -6931.4890	    208.6802	
BPM.11L5.B1	     21.2488	    -13.2559	     -0.4032	      9.4931	     -0.4032	     -9.4931	     21.2488	     13.2559	     68.1155	    -66.6103	     33.5160	     -8.1009	    -30.1996	     20.5629	  -3701.9819	    880.7788	  -3701.9819	   -880.7788	   2697.8785	  -1426.4846	  -1487.8559	  -2681.5983	  -5999.7595	   4087.6856	  -7048.5209	  77459.9926	  -5999.7595	  -4087.6856	   3820.0593	  -8128.2854	  -7048.5209	 -77459.9926	  -1487.8559	   2681.5983	  -2646.4851	  -6758.5984	   4577.9342	   3676.7026	   3820.0593	   8128.2854	     -0.3669	      8.2035	     -0.3669	     -8.2035	    -33.7124	      3.5748	      1.7036	     -9.3002	    -17.6061	     -2.6758	    -17.6061	      2.6758	      1.7036	      9.3002	     40.7362	    -38.0352	   1429.2883	   -857.8780	  20346.3240	-124216.2312	  -3110.5328	    799.5628	   -116.9687	   1962.7058	   -116.9687	  -1962.7058	  20346.3240	 124216.2312	   1429.2883	    857.8780	  -1820.9225	   2935.4327	    403.7287	   6807.0468	 -71325.8652	 167513.2425	 -71325.8652	-167513.2425	    403.7287	  -6807.0468	
BPM.10L5.B1	     -9.4213	    -12.4199	    -12.6893	      8.5118	    -12.6893	     -8.5118	     -9.4213	     12.4199	     80.1957	     32.1032	     32.3674	     12.1513	    -15.6713	    -32.7525	  -3136.5732	   -543.0369	  -3136.5732	    543.0369	    794.0763	   3497.6509	  -3176.3819	  -1362.6970	  -2659.6149	   3329.0349	  30714.3006	  72087.2426	  -2659.6149	  -3329.0349	  -6152.0215	  -7351.4905	  30714.3006	 -72087.2426	  -3176.3819	   1362.6970	   5653.8172	   1361.3566	  -6045.7380	   1033.7050	  -6152.0215	   7351.4905	      9.2879	      4.0853	      9.2879	     -4.0853	    -21.7032	    -22.7015	    -11.5761	     -7.6845	    -26.5485	      6.1292	    -26.5485	     -6.1292	    -11.5761	      7.6845	     37.0172	     33.9914	    433.9488	   -852.8381	 -13187.7102	-127306.1451	    288.3700	   3025.3638	   -689.1539	    636.1373	   -689.1539	   -636.1373	 -13187.7102	 127306.1451	    433.9488	    852.8381	  -1374.1984	  -1848.4285	   6302.6320	   1957.7723	 -25774.9008	 181337.9063	 -25774.9008	-181337.9063	   6302.6320	  -1957.7723	
BPM.9L5.B1	    -13.1299	     -8.4050	    -15.2292	      1.2475	    -15.2292	     -1.2475	    -13.1299	      8.4050	     -2.0560	     86.3582	     26.1835	     22.5736	     20.8213	    -29.7460	  -2455.1549	   2026.2820	  -2455.1549	  -2026.2820	  -3577.6593	    254.7470	  -3302.4134	   1019.8037	    793.1719	   4185.9220	  19079.2855	  75999.7673	    793.1719	  -4185.9220	  -9448.2365	  -1615.2862	  19079.2855	 -75999.7673	  -3302.4134	  -1019.8037	  -1335.4505	   5660.0048	  -1991.9080	  -5800.6639	  -9448.2365	   1615.2862	     10.1455	     -0.1661	     10.1455	      0.1661	     15.8586	    -27.1089	    -13.2230	     -4.2665	    -21.5636	     16.6533	    -21.5636	    -16.6533	    -13.2230	      4.2665	    -15.2082	     47.9009	   -294.1422	   -910.6500	  -3175.5629	-127948.0444	   2006.7007	   2282.1678	   -919.9867	   -181.2583	   -919.9867	    181.2583	  -3175.5629	 127948.0444	   -294.1422	    910.6500	   1944.8113	  -1233.9387	   5847.4603	  -3058.6514	 -39899.7562	 178761.7326	 -39899.7562	-178761.7326	   5847.4603	   3058.6514	
