NAME	RE_011100	IM_011100	RE_012000	IM_012000	RE_100200	IM_100200	RE_101100	IM_101100	RE_102000	IM_102000	RE_210000	IM_210000	RE_300000	IM_300000	RE_001300	IM_001300	RE_003100	IM_003100	RE_004000	IM_004000	RE_021100	IM_021100	RE_110200	IM_110200	RE_022000	IM_022000	RE_112000	IM_112000	RE_130000	IM_130000	RE_200200	IM_200200	RE_201100	IM_201100	RE_202000	IM_202000	RE_400000	IM_400000	RE_310000	IM_310000	RE_001200	IM_001200	RE_002100	IM_002100	RE_003000	IM_003000	RE_021000	IM_021000	RE_110100	IM_110100	RE_111000	IM_111000	RE_200100	IM_200100	RE_201000	IM_201000	RE_011200	IM_011200	RE_012100	IM_012100	RE_031000	IM_031000	RE_013000	IM_013000	RE_100300	IM_100300	RE_101200	IM_101200	RE_102100	IM_102100	RE_103000	IM_103000	RE_120100	IM_120100	RE_121000	IM_121000	RE_210100	IM_210100	RE_211000	IM_211000	
BPM.31R4.B1	      2.9472	     27.6983	      5.0847	      6.5402	      5.0847	     -6.5402	      2.9472	    -27.6983	    103.9023	     56.9354	     -3.5565	    -14.7195	    -23.3938	     40.6813	   2350.3099	  -1896.2939	   2350.3099	   1896.2939	   2570.7540	   -448.7074	   -776.3272	   4659.4368	   4884.8087	   -839.4290	-102002.4900	 -13922.2616	   4884.8087	    839.4290	  -2561.9837	  -1537.1989	-102002.4900	  13922.2616	   -776.3272	  -4659.4368	  -7632.9625	  -9167.0390	   1821.6322	  -3849.3608	  -2561.9837	   1537.1989	      0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	      0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	     -0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	     -0.0000	     -0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	      0.0000	
BPM.32R4.B1	     23.3403	     14.4115	     -3.1088	      6.8768	     -3.1088	     -6.8768	     23.3403	    -14.4115	   -111.2991	    -37.5965	     10.9197	    -10.3869	     18.0056	    -43.1685	  -2820.3575	  -1302.7093	  -2820.3575	   1302.7093	  -2028.4292	  -1500.5198	   4548.9187	   -500.6175	  -2875.7471	  -3857.0719	-102714.6347	  -7778.9808	  -2875.7471	   3857.0719	   -444.5704	   2904.7117	-102714.6347	   7778.9808	   4548.9187	    500.6175	   -894.0983	  11878.3487	  -4162.4799	    950.2439	   -444.5704	  -2904.7117	      0.0000	      0.0000	      0.0000	     -0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	      0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	     -0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	
BPM.33R4.B1	     22.8648	    -17.0244	     -1.3193	      7.1046	     -1.3193	     -7.1046	     22.8648	     17.0244	     93.9381	    -69.6989	     13.3034	      4.9881	    -32.2251	     33.6237	  -2770.5338	   1667.8019	  -2770.5338	  -1667.8019	   2156.6000	  -1255.2110	  -3503.9268	  -2612.6294	  -4863.0879	    283.5005	 -30790.6414	  98289.5715	  -4863.0879	   -283.5005	   2086.9760	  -1860.1387	 -30790.6414	 -98289.5715	  -3503.9268	   2612.6294	   3412.8709	 -11580.1097	   1083.3516	   3999.5863	   2086.9760	   1860.1387	      0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	     -0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	     -0.0000	     -0.0000	      0.0000	      0.0000	     -0.0000	
BPM.34R4.B1	    -13.8920	    -15.5153	    -15.3895	      1.5317	    -15.3895	     -1.5317	    -13.8920	     15.5153	     78.3487	     70.5924	      9.7422	     12.0508	    -27.9997	    -36.6590	  -1857.7053	    529.2185	  -1857.7053	   -529.2185	   -479.2336	   2991.0325	  -4391.2848	     45.8151	  -4681.4657	   -313.4197	  -1888.2094	 104228.9199	  -4681.4657	    313.4197	  -1055.4065	  -3058.6005	  -1888.2094	-104228.9199	  -4391.2848	    -45.8151	   5810.9559	  10179.2260	  -3907.3194	  -1849.6157	  -1055.4065	   3058.6005	      0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	     -0.0000	     -0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	      0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	      0.0000	      0.0000	
BPM.33L5.B1	    -18.7166	     -9.1341	      6.2845	    -14.1301	      6.2845	     14.1301	    -18.7166	      9.1341	    -94.8137	    -46.1767	      4.4793	     14.8331	     22.4049	    -40.3230	   1787.1998	    732.9038	   1787.1998	   -732.9038	   2794.2057	   1169.5319	  -3110.9614	   3099.0948	   3485.4046	   3141.7531	-103086.0291	 -15508.9550	   3485.4046	  -3141.7531	  -2890.5769	  -1452.4951	-103086.0291	  15508.9550	  -3110.9614	  -3099.0948	  -4697.3108	 -10738.8455	   1752.0144	  -3951.8426	  -2890.5769	   1452.4951	     -0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	     -0.0000	     -0.0000	     -0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	      0.0000	      0.0000	     -0.0000	     -0.0000	     -0.0000	     -0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	     -0.0000	     -0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	      0.0000	
BPM.32L5.B1	    -19.3710	     12.9899	     14.3710	     -4.2146	     14.3710	      4.2146	    -19.3710	    -12.9899	    102.8443	     27.6964	     -9.7379	     12.2223	    -17.4145	     42.8815	    209.0584	  -2106.6872	    209.0584	   2106.6872	  -1324.7822	  -2713.7894	   4172.3920	    746.0805	   1722.1622	  -4719.7331	-103643.3796	  -9482.6326	   1722.1622	   4719.7331	     62.3373	   3303.2101	-103643.3796	   9482.6326	   4172.3920	   -746.0805	  -5192.7430	  10689.5288	  -4129.6053	   1249.3261	     62.3373	  -3303.2101	     -0.0000	     -0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	     -0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	     -0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	
BPM.31L5.B1	      4.4661	     22.8942	     13.4468	     -6.5921	     13.4468	      6.5921	      4.4661	    -22.8942	    -81.2144	     68.9067	    -15.0414	     -4.2397	     31.9686	    -33.4678	  -1662.7653	  -1310.7272	  -1662.7653	   1310.7272	   3019.1499	    -62.2060	  -2384.8011	  -3502.9138	  -3050.2593	  -3993.1916	 -32604.1491	  98837.3591	  -3050.2593	   3993.1916	   2316.9520	  -2355.2105	 -32604.1491	 -98837.3591	  -2384.8011	   3502.9138	   7270.9283	  -9401.2398	   1336.9690	   4102.1065	   2316.9520	   2355.2105	     -0.0000	      0.0000	     -0.0000	     -0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	      0.0000	     -0.0000	      0.0000	      0.0000	     -0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	     -0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	     -0.0000	     -0.0000	      0.0000	      0.0000	     -0.0000	
BPM.30L5.B1	     -7.5556	     27.9797	      2.5507	     -7.6217	      2.5507	      7.6217	     -7.5556	    -27.9797	    -83.6308	    -83.2001	     -8.9926	    -11.1359	     28.1084	     37.3270	   -798.7018	   3028.9351	   -798.7018	  -3028.9351	   1087.2551	   2287.5512	  -3642.3842	   2834.8238	  -3229.3901	   3972.6433	   -214.1837	 102714.1958	  -3229.3901	  -3972.6433	  -1007.0101	  -2676.9089	   -214.1837	-102714.1958	  -3642.3842	  -2834.8238	   8790.6578	   8239.9847	  -3724.0684	  -1788.9104	  -1007.0101	   2676.9089	     -0.0000	      0.0000	     -0.0000	     -0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	      0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	      0.0000	      0.0000	
BPM.29L5.B1	      8.5911	     26.7887	      4.6195	      8.5913	      4.6195	     -8.5913	      8.5911	    -26.7887	    101.0918	     58.1809	    -29.9401	    -23.8112	    -26.9963	     32.3761	   2635.2110	  -1145.7641	   2635.2110	   1145.7641	   2712.1191	   -317.0470	     10.9259	   3702.8149	   4953.9352	  -6104.2195	 -99958.8575	 -11005.5569	   4953.9352	   6104.2195	 -10158.1539	   -908.3892	 -99958.8575	  11005.5569	     10.9259	  -3702.8149	  -9634.6091	  -7400.9321	  -1027.3814	  -7071.5510	 -10158.1539	    908.3892	      0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	      0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	     -0.0000	     -0.0000	     -0.0000	     -0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	     -0.0000	     -0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	      0.0000	
BPM.28L5.B1	     25.5878	      9.1720	     -5.0578	      7.6894	     -5.0578	     -7.6894	     25.5878	     -9.1720	   -108.7426	    -39.3852	      4.4560	    -37.5413	     22.5442	    -35.4099	  -2225.6048	  -1846.1605	  -2225.6048	   1846.1605	  -2039.1757	  -1695.8649	   3297.3502	   -816.5557	  -7759.0247	  -2006.8213	-100484.3384	  -5254.5842	  -7759.0247	   2006.8213	   3395.6012	   9549.8631	-100484.3384	   5254.5842	   3297.3502	    816.5557	   1746.1749	  12134.7226	  -4826.4951	   5225.6218	   3395.6012	  -9549.8631	      0.0000	      0.0000	      0.0000	     -0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	      0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	     -0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	
