* NAME                                S               BETX               ALFX               BETY               ALFY                MUX                MUY                 DX                 DY                DPX                DPY                  X                  Y                K0L                 K0                K1L               K1SL                K2L                K3L                K4L                 WX                 WY               PHIX               PHIY               DMUX               DMUY KEYWORD                           DBX                DBY                R11                R12                R21                R22 
$ %s                                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le %s                                %le                %le                %le                %le                %le                %le 
 "MB.A8R8.B2"               147.2112473        86.71422074        3.196661051        107.2154023       -1.175843067       0.4079565998       0.4811789896      -0.3033790291       0.2207901265      0.01915220878     0.002100835179    5.025275635e-08    -1.17685855e-10     0.005099988074                  0                 -0                 -0                 -0                 -0                 -0          414.45196        27.08763379        1.082748889       0.7801968517        15.97344954      -0.2679064037 "SBEND"                              0                  0   -1.523324144e-06    2.747123496e-05   -8.506472162e-08   -1.496335841e-06
 "MB.B8R8.B2"                162.871742        18.32019789        1.170603716        149.4940919       -1.523860257       0.4722223954       0.5009167931      0.03302132241       0.2536902448      0.02425243014     0.002100835179    1.814417098e-08   -1.456321366e-10     0.005099988074                  0                 -0                 -0                 -0                 -0                 -0        414.6315934        27.08040699         1.21050544       0.8176255272       0.2130714365      -0.4491627745 "SBEND"                              0                  0   -2.855428212e-06    4.875582048e-05    -8.50661265e-08   -1.641675279e-07
 "BPM.8R8.B2"               164.0249894        15.79228269        1.021393687        153.0384231       -1.549488433       0.4830215153       0.5021302784      0.06099037554       0.2561130274      0.02425243014     0.002100835179    1.577964457e-08   -1.476901159e-10                 -0                  0                 -0                 -0                 -0                 -0                 -0        414.6452209         27.0800196        1.232046646       0.8199018941      -0.6008840515      -0.4641365306 "MONITOR"                            0                  0   -2.953530496e-06    5.197264593e-05    -8.50661265e-08   -6.606524303e-08
 "MQML.8R8.B2"              169.5699894        10.01671231      0.02285148464        146.1953811        3.374181841       0.5583204584       0.5078373782       0.2048350585       0.2475208472      0.02883887527    -0.006277485743    5.285246099e-09   -1.458082956e-10                 -0                  0     -0.03273297722                 -0                 -0                 -0                 -0        414.8397969        27.16519258        1.382421792       0.8313500535        9.906804804      -0.5404617159 "QUADRUPOLE"                         0                  0   -5.112298195e-06    6.960485771e-05     7.72350844e-08     -1.9545367e-06
 "MB.A9R8.B2"               186.2772367        37.13377527       -1.645901564        57.09578502        1.958808938       0.7250663181       0.5371063133       0.7231127916       0.1426413401      0.03393796741    -0.006277485743   -2.369644719e-08   -9.393269393e-11     0.005099988074                  0                 -0                 -0                 -0                 -0                 -0        415.9073505        28.57679766        1.715422327       0.8904016115        64.32229008       -1.093347388 "SBEND"                              0                  0   -3.821778907e-06      0.00010080273    7.723018675e-08    -3.24488975e-06
 "MB.B9R8.B2"               201.9377314        113.1790377       -3.209908024        16.52066821        0.632112842       0.7638968247       0.6222661232        1.291050905      0.04433280781      0.03903609284    -0.006277485743   -5.086168094e-08   -4.530723413e-11     0.005099988074                  0                 -0                 -0                 -0                 -0                 -0        416.9108347         29.9001661        1.792625486        1.061159329        63.87304453       -3.535975433 "SBEND"                              0                  0   -2.612184638e-06    9.089545322e-05    7.722308926e-08   -4.454304343e-06
 "BPM.9R8.B2"               203.0919788        120.7221526       -3.325185961        15.17430523       0.5343295036       0.7654684521       0.6338789041        1.336108214      0.03708703652      0.03903609284    -0.006277485743   -5.286383032e-08   -4.172332384e-11                 -0                  0                 -0                 -0                 -0                 -0                 -0        416.9850164        29.99777913        1.795735059        1.084415547         63.6918993       -3.859360492 "MONITOR"                            0                  0   -2.523050092e-06    8.866630812e-05    7.722308926e-08   -4.543438889e-06
 "MQMC.9R8.B2"              206.2679788        137.1621931        -1.20621954        13.19243799      0.03992671431       0.7693561021       0.6702958859        1.430778516      0.01772413961      0.01442419501    -0.005841144992   -5.720701083e-08   -3.263972956e-11                 -0                  0      0.01753589682                 -0                 -0                 -0                 -0        417.0937562         30.2446928         1.80344628        1.157536672        63.19105096       -4.684012129 "QUADRUPOLE"                         0                  0   -9.255478035e-07    8.168313866e-05   -2.046749364e-08   -3.181238773e-06
 "MQM.9R8.B2"               210.0339788         134.703418        2.168487238        15.13312021      -0.6046705909       0.7736924077       0.7139793475        1.424190239    -0.003891481256     -0.02135589096    -0.005696894757   -5.760098388e-08   -2.454461544e-11                 -0                  0      0.02484252049                 -0                 -0                 -0                 -0         417.107066        30.45190716        1.812124213         1.24601108        62.54451368       -5.118617367 "QUADRUPOLE"                         0                  0    7.972595125e-07    7.377725507e-05   -7.410996448e-08   -1.067898295e-06
 "MB.A10R8.B2"              226.7432261         74.0527489        1.461271917        60.53546791       -2.112528261        0.800444745       0.8070587258        1.103797671      -0.0990823049     -0.01625814403    -0.005696894757   -4.614808856e-08    5.233421527e-12     0.005099988074                  0                 -0                 -0                 -0                 -0                 -0        417.7360298        31.14776636        1.865751819        1.439078435        56.62400384       -3.741807249 "SBEND"                              0                  0   -4.409528199e-07    6.330252736e-05   -7.411061829e-08    1.704303957e-07
